,1. open,2. high,3. low,4. close,5. volume,day,day_of_month,month
2019-10-08,0.69,0.69,0.69,0.69,50,2,8,10
2019-10-07,0.69,0.69,0.69,0.69,0,1,7,10
2019-10-04,0.69,0.69,0.69,0.69,0,5,4,10
2019-10-03,0.69,0.69,0.69,0.69,0,4,3,10
2019-10-02,0.69,0.69,0.69,0.69,0,3,2,10
2019-10-01,0.69,0.69,0.69,0.69,500,2,1,10
2019-09-30,0.66,0.66,0.66,0.66,0,1,30,9
2019-09-27,0.66,0.66,0.66,0.66,0,5,27,9
2019-09-26,0.66,0.66,0.66,0.66,0,4,26,9
2019-09-25,0.66,0.66,0.66,0.66,0,3,25,9
2019-09-24,0.66,0.66,0.66,0.66,0,2,24,9
2019-09-23,0.66,0.66,0.66,0.66,0,1,23,9
2019-09-20,0.66,0.66,0.66,0.66,0,5,20,9
2019-09-19,0.66,0.66,0.66,0.66,0,4,19,9
2019-09-18,0.66,0.66,0.66,0.66,0,3,18,9
2019-09-17,0.66,0.66,0.66,0.66,0,2,17,9
2019-09-16,0.66,0.66,0.66,0.66,0,1,16,9
2019-09-13,0.66,0.66,0.66,0.66,0,5,13,9
2019-09-12,0.66,0.66,0.66,0.66,0,4,12,9
2019-09-11,0.66,0.66,0.66,0.66,0,3,11,9
2019-09-10,0.66,0.66,0.66,0.66,0,2,10,9
2019-09-09,0.66,0.66,0.66,0.66,0,1,9,9
2019-09-06,0.66,0.66,0.66,0.66,0,5,6,9
2019-09-05,0.66,0.66,0.66,0.66,0,4,5,9
2019-09-04,0.66,0.66,0.66,0.66,0,3,4,9
2019-09-03,0.66,0.66,0.66,0.66,0,2,3,9
2019-08-30,0.66,0.66,0.66,0.66,0,5,30,8
2019-08-29,0.66,0.66,0.66,0.66,0,4,29,8
2019-08-28,0.66,0.66,0.66,0.66,0,3,28,8
2019-08-27,0.66,0.66,0.66,0.66,0,2,27,8
2019-08-26,0.66,0.66,0.66,0.66,0,1,26,8
2019-08-23,0.66,0.66,0.66,0.66,200,5,23,8
2019-08-22,0.68,0.68,0.68,0.68,0,4,22,8
2019-08-21,0.68,0.68,0.68,0.68,20000,3,21,8
2019-08-20,0.6801,0.6801,0.6801,0.6801,1250,2,20,8
2019-08-19,0.7,0.7,0.7,0.7,0,1,19,8
2019-08-15,0.7,0.7,0.7,0.7,300,4,15,8
2019-08-14,0.7,0.7,0.7,0.7,5600,3,14,8
2019-08-13,0.7,0.7,0.7,0.7,300,2,13,8
2019-08-12,0.7,0.7,0.7,0.7,5600,1,12,8
2019-08-09,0.7,0.7,0.7,0.7,5600,5,9,8
2019-08-08,0.7,0.7,0.7,0.7,5600,4,8,8
2019-08-07,0.7,0.7,0.7,0.7,300,3,7,8
2019-08-06,0.7,0.7,0.7,0.7,300,2,6,8
2019-08-05,0.7,0.7,0.7,0.7,300,1,5,8
2019-08-02,0.7,0.7,0.7,0.7,300,5,2,8
2019-08-01,0.7,0.7,0.7,0.7,300,4,1,8
2019-07-31,0.7025,0.7025,0.7,0.7,5600,3,31,7
2019-07-30,0.71,0.71,0.71,0.71,20000,2,30,7
2019-07-29,0.71,0.71,0.71,0.71,20000,1,29,7
2019-07-26,0.71,0.71,0.71,0.71,0,5,26,7
