,1. open,2. high,3. low,4. close,5. volume
2019-11-14,0.7100,0.7100,0.7100,0.7100,0
2019-11-13,0.7100,0.7100,0.7100,0.7100,0
2019-11-12,0.7100,0.7100,0.7100,0.7100,0
2019-11-11,0.7100,0.7100,0.7100,0.7100,0
2019-11-08,0.7100,0.7100,0.7100,0.7100,0
2019-11-07,0.7100,0.7100,0.7100,0.7100,0
2019-11-06,0.7100,0.7100,0.7100,0.7100,0
2019-11-05,0.7100,0.7100,0.7100,0.7100,0
2019-11-04,0.7100,0.7100,0.7100,0.7100,0
2019-11-01,0.7100,0.7100,0.7100,0.7100,0
2019-10-31,0.7100,0.7100,0.7100,0.7100,0
2019-10-30,0.7100,0.7100,0.7100,0.7100,0
2019-10-29,0.7100,0.7100,0.7100,0.7100,0
2019-10-28,0.7000,0.7050,0.7000,0.7050,31500
2019-10-25,0.6900,0.6900,0.6900,0.6900,0
2019-10-24,0.6900,0.6900,0.6900,0.6900,0
2019-10-23,0.6900,0.6900,0.6900,0.6900,0
2019-10-22,0.6900,0.6900,0.6900,0.6900,0
2019-10-21,0.6900,0.6900,0.6900,0.6900,0
2019-10-18,0.6900,0.6900,0.6900,0.6900,0
2019-10-17,0.6900,0.6900,0.6900,0.6900,0
2019-10-16,0.6900,0.6900,0.6900,0.6900,0
2019-10-15,0.6900,0.6900,0.6900,0.6900,0
2019-10-14,0.6900,0.6900,0.6900,0.6900,0
2019-10-11,0.6900,0.6900,0.6900,0.6900,0
2019-10-10,0.6900,0.6900,0.6900,0.6900,0
2019-10-09,0.6900,0.6900,0.6900,0.6900,0
2019-10-08,0.6900,0.6900,0.6900,0.6900,50
2019-10-07,0.6900,0.6900,0.6900,0.6900,0
2019-10-04,0.6900,0.6900,0.6900,0.6900,0
2019-10-03,0.6900,0.6900,0.6900,0.6900,0
2019-10-02,0.6900,0.6900,0.6900,0.6900,0
2019-10-01,0.6900,0.6900,0.6900,0.6900,500
2019-09-30,0.6600,0.6600,0.6600,0.6600,0
2019-09-27,0.6600,0.6600,0.6600,0.6600,0
2019-09-26,0.6600,0.6600,0.6600,0.6600,0
2019-09-25,0.6600,0.6600,0.6600,0.6600,0
2019-09-24,0.6600,0.6600,0.6600,0.6600,0
2019-09-23,0.6600,0.6600,0.6600,0.6600,0
2019-09-20,0.6600,0.6600,0.6600,0.6600,0
2019-09-19,0.6600,0.6600,0.6600,0.6600,0
2019-09-18,0.6600,0.6600,0.6600,0.6600,0
2019-09-17,0.6600,0.6600,0.6600,0.6600,0
2019-09-16,0.6600,0.6600,0.6600,0.6600,0
2019-09-13,0.6600,0.6600,0.6600,0.6600,0
2019-09-12,0.6600,0.6600,0.6600,0.6600,0
2019-09-11,0.6600,0.6600,0.6600,0.6600,0
2019-09-10,0.6600,0.6600,0.6600,0.6600,0
2019-09-09,0.6600,0.6600,0.6600,0.6600,0
2019-09-06,0.6600,0.6600,0.6600,0.6600,0
2019-09-05,0.6600,0.6600,0.6600,0.6600,0
2019-09-04,0.6600,0.6600,0.6600,0.6600,0
2019-09-03,0.6600,0.6600,0.6600,0.6600,0
2019-08-30,0.6600,0.6600,0.6600,0.6600,0
2019-08-29,0.6600,0.6600,0.6600,0.6600,0
2019-08-28,0.6600,0.6600,0.6600,0.6600,0
2019-08-27,0.6600,0.6600,0.6600,0.6600,0
2019-08-26,0.6600,0.6600,0.6600,0.6600,0
2019-08-23,0.6600,0.6600,0.6600,0.6600,200
2019-08-22,0.6800,0.6800,0.6800,0.6800,0
2019-08-21,0.6800,0.6800,0.6800,0.6800,20000
2019-08-20,0.6801,0.6801,0.6801,0.6801,1250
2019-08-19,0.7000,0.7000,0.7000,0.7000,0
2019-08-15,0.7000,0.7000,0.7000,0.7000,300
2019-08-14,0.7000,0.7000,0.7000,0.7000,5600
2019-08-13,0.7000,0.7000,0.7000,0.7000,300
2019-08-12,0.7000,0.7000,0.7000,0.7000,5600
2019-08-09,0.7000,0.7000,0.7000,0.7000,5600
2019-08-08,0.7000,0.7000,0.7000,0.7000,5600
2019-08-07,0.7000,0.7000,0.7000,0.7000,300
2019-08-06,0.7000,0.7000,0.7000,0.7000,300
2019-08-05,0.7000,0.7000,0.7000,0.7000,300
2019-08-02,0.7000,0.7000,0.7000,0.7000,300
2019-08-01,0.7000,0.7000,0.7000,0.7000,300
2019-07-31,0.7025,0.7025,0.7000,0.7000,5600
2019-07-30,0.7100,0.7100,0.7100,0.7100,20000
2019-07-29,0.7100,0.7100,0.7100,0.7100,20000
2019-07-26,0.7100,0.7100,0.7100,0.7100,0
2019-07-25,0.7100,0.7100,0.7100,0.7100,0
2019-07-24,0.7100,0.7100,0.7100,0.7100,0
2019-07-23,0.7100,0.7100,0.7100,0.7100,0
2019-07-22,0.7100,0.7100,0.7100,0.7100,0
2019-07-19,0.7100,0.7100,0.7100,0.7100,0
2019-07-18,0.7100,0.7100,0.7100,0.7100,0
2019-07-17,0.7100,0.7100,0.7100,0.7100,0
2019-07-16,0.7100,0.7100,0.7100,0.7100,0
2019-07-15,0.7100,0.7100,0.7100,0.7100,0
2019-07-12,0.7100,0.7100,0.7100,0.7100,0
2019-07-11,0.7100,0.7100,0.7100,0.7100,0
2019-07-10,0.7100,0.7100,0.7100,0.7100,0
2019-07-09,0.7100,0.7100,0.7100,0.7100,0
2019-07-08,0.7100,0.7100,0.7100,0.7100,0
2019-07-05,0.7100,0.7100,0.7100,0.7100,0
2019-07-03,0.7100,0.7100,0.7100,0.7100,0
2019-07-02,0.7100,0.7100,0.7100,0.7100,0
2019-07-01,0.7100,0.7100,0.7100,0.7100,20000
2019-06-28,0.7000,0.7000,0.7000,0.7000,0
2019-06-27,0.6980,0.6980,0.6980,0.6980,4000
2019-06-26,0.6800,0.6800,0.6800,0.6800,0
2019-06-25,0.6800,0.6800,0.6800,0.6800,0
2019-06-24,0.6800,0.6800,0.6800,0.6800,0
2019-06-21,0.6800,0.6800,0.6800,0.6800,0
2019-06-18,0.6800,0.6800,0.6800,0.6800,0
2019-06-17,0.6800,0.6800,0.6800,0.6800,0
2019-06-14,0.6800,0.6800,0.6800,0.6800,0
2019-06-13,0.6800,0.6800,0.6800,0.6800,0
2019-06-12,0.6800,0.6800,0.6800,0.6800,296
2019-06-11,0.6800,0.6800,0.6800,0.6800,0
2019-06-06,0.6900,0.6900,0.6800,0.6800,10000
2019-06-05,0.6800,0.6800,0.6800,0.6800,0
2019-06-03,0.6800,0.6800,0.6800,0.6800,3000
2019-05-31,0.6700,0.6700,0.6700,0.6700,0
2019-05-30,0.6700,0.6700,0.6700,0.6700,0
2019-05-29,0.6700,0.6700,0.6700,0.6700,0
2019-05-28,0.6700,0.6700,0.6700,0.6700,10000
2019-05-24,0.6800,0.6800,0.6800,0.6800,0
2019-05-23,0.6800,0.6800,0.6800,0.6800,0
2019-05-22,0.6800,0.6800,0.6800,0.6800,0
2019-05-21,0.6815,0.6815,0.6800,0.6800,500
2019-05-20,0.7200,0.7200,0.7200,0.7200,0
2019-05-17,0.7200,0.7200,0.7200,0.7200,0
2019-05-16,0.7200,0.7200,0.7200,0.7200,0
2019-05-15,0.7200,0.7200,0.7200,0.7200,0
2019-05-14,0.7200,0.7200,0.7200,0.7200,0
2019-05-13,0.7200,0.7200,0.7200,0.7200,0
2019-05-10,0.7200,0.7200,0.7200,0.7200,0
2019-05-09,0.7200,0.7200,0.7200,0.7200,0
2019-05-08,0.7250,0.7250,0.7200,0.7200,7000
2019-05-07,0.7600,0.7600,0.7600,0.7600,0
2019-05-06,0.7600,0.7600,0.7600,0.7600,0
2019-05-03,0.7600,0.7600,0.7600,0.7600,0
2019-05-02,0.7600,0.7600,0.7600,0.7600,0
2019-05-01,0.7600,0.7600,0.7600,0.7600,0
2019-04-30,0.7600,0.7600,0.7600,0.7600,0
2019-04-29,0.7600,0.7600,0.7600,0.7600,0
2019-04-25,0.7625,0.7625,0.7625,0.7625,7000
2019-04-24,0.7800,0.7800,0.7800,0.7800,0
2019-04-23,0.7800,0.7800,0.7800,0.7800,0
2019-04-22,0.7800,0.7800,0.7800,0.7800,0
2019-04-18,0.7800,0.7800,0.7800,0.7800,0
2019-04-17,0.7800,0.7800,0.7800,0.7800,0
2019-04-15,0.7800,0.7800,0.7800,0.7800,0
2019-04-12,0.7800,0.7800,0.7800,0.7800,0
2019-04-11,0.7800,0.7800,0.7800,0.7800,1000
2019-04-10,0.7700,0.7700,0.7700,0.7700,10000
2019-04-09,0.7500,0.7500,0.7500,0.7500,0
2019-04-08,0.7500,0.7500,0.7500,0.7500,0
